Economy,Year,ISO-3_code,Number_of_commercial_banks,Number_of_credit_unions_and_credit_cooperatives,Number_of_other_deposit_takers,Number_of_Automated_Teller_Machines_(ATMs),Depositors_with_commercial_banks,Depositors_with_commercial_banks:_o/w_SME,Depositors_with_credit_unions_and_credit_cooperatives,Depositors_with_credit_unions_and_credit_cooperatives:_o/w_household_sector,Deposit_accounts_with_commercial_banks,Deposit_accounts_with_commercial_banks:_o/w_SME,Deposit_accounts_with_credit_unions_and_credit_cooperatives,Deposit_accounts_with_credit_unions_and_credit_cooperatives:o/w_SME,Number_of_debit_cards,Outstanding_deposits_with_commercial_banks,Outstanding_deposits_with_credit_unions_and_credit_cooperatives,Outstanding_deposits_with_other_deposit_takers,Outstanding_loans_from_commercial_banks,Outstanding_loans_from_credit_unions_and_credit_cooperatives,Outstanding_loans_from_other_deposit_takers,"Number_of_ATMs_per_1,000_km2","Number_of_ATMs_per_100,000_adults","Number_of_depositors_with_commercial_banks_per_1,000_adults","Number_of_depositors_with_credit_unions_and_credit_cooperatives_per_1,000_adults","Number_of_deposit_accounts_with_commercial_banks_per_1,000_adults","No_of_deposit_acc_with_credit_unions_and_credit_cooperatives_per_1,000_adults",Outstanding_deposits_with_commercial_banks_(%_of_GDP),Outstanding_deposits_with_credit_unions_and_credit_cooperatives_(%_of_GDP),Outstanding_loans_from_commercial_banks_(%_of_GDP),Outstanding_loans_from_credit_unions_and_credit_cooperatives_(%_of_GDP),"Number_of_debit_cards_per_1,000_adults"
"China, P.R.: Mainland",2006,CHN,144.0,19506.0,87.0,101255.0,6857324.0,6578054.0,1584929.0,1560834.0,12300000.0,11100000.0,2350230.0,2239553.0,1080000000.0,27100000.0,3607725.0,3124782.0,17400000.0,2464876.0,3842326.0,10.78533,9.566753,6.478922,1.4974690000000002,11.64824,2.220539,123.4101,16.44071,79.48923,11.23265,1016.62394049456
"China, P.R.: Mainland",2007,CHN,170.0,8503.0,113.0,127578.0,7830471.0,7501767.0,1858826.0,1829867.0,14100000.0,12600000.0,2792796.0,2650331.0,1410000000.0,30700000.0,4203219.0,3498448.0,20200000.0,2893875.0,4599556.0,13.589170000000001,11.914480000000001,7.312860000000001,1.735954,13.186770000000001,2.608186,113.7626,15.56216,74.91082,10.71439,1314.92815691094
"China, P.R.: Mainland",2008,CHN,185.0,5150.0,201.0,167489.0,8744977.0,8395159.0,2069620.0,2033729.0,15600000.0,13900000.0,3109390.0,2936138.0,1660000000.0,36700000.0,5054902.0,4309093.0,22700000.0,3362494.0,5874172.0,17.84035,15.48639,8.085792999999999,1.913615,14.42145,2.875009,114.85600000000001,15.83395,71.05528000000001,10.53266,1533.02238301258
"China, P.R.: Mainland",2009,CHN,198.0,3263.0,286.0,214880.0,9841144.0,9438334.0,2332541.0,2288578.0,17300000.0,15300000.0,3486164.0,3280008.0,1880000000.0,47500000.0,5892653.0,6062609.0,30400000.0,4027490.0,7903617.0,22.888279999999998,19.69887,9.021751,2.138329,15.8533,3.1958990000000003,136.1774,16.90776,87.30891,11.55606,1723.46756790282
"China, P.R.: Mainland",2010,CHN,204.0,2869.0,542.0,271084.0,11300000.0,10800000.0,2715993.0,2660362.0,19600000.0,17200000.0,3995962.0,3746090.0,2190000000.0,56600000.0,6355746.0,8301978.0,36200000.0,4317094.0,10100000.0,28.874940000000002,24.667579999999997,10.24543,2.471447,17.81772,3.636168,137.2709,15.4221,87.77045,10.47535,1989.17414809911
"China, P.R.: Mainland",2011,CHN,201.0,2477.0,956.0,333789.0,12900000.0,12400000.0,2772213.0,2709701.0,22300000.0,19400000.0,4086452.0,3806894.0,2660000000.0,64100000.0,6851928.0,9581468.0,41000000.0,4567447.0,11000000.0,35.55406,30.17458,11.70613,2.5060849999999997,20.11823,3.6941589999999995,131.4589,14.04256,84.07473,9.360669,2408.26006733933
"China, P.R.: Mainland",2012,CHN,203.0,2074.0,1291.0,415561.0,14700000.0,14000000.0,3162497.0,3089377.0,25100000.0,21700000.0,4542216.0,4226337.0,3200000000.0,72800000.0,7089026.0,12400000.0,46800000.0,4613531.0,13700000.0,44.26413,37.360079999999996,13.179570000000002,2.843172,22.56615,4.083577,135.2522,13.16244,86.98444,8.566102,2879.58527441512
"China, P.R.: Mainland",2013,CHN,204.0,1925.0,1635.0,519996.0,16600000.0,15900000.0,3373829.0,3293673.0,28200000.0,24400000.0,4786693.0,4451859.0,3820000000.0,81300000.0,7569244.0,15300000.0,52600000.0,4838744.0,16500000.0,55.38819,46.52417,14.892489999999999,3.018573,25.18802,4.282666000000001,137.1704,12.76512,88.79026999999999,8.160277,3420.44772909224
"China, P.R.: Mainland",2014,CHN,192.0,1685.0,2018.0,614877.0,19000000.0,18200000.0,3764494.0,3666189.0,31500000.0,27200000.0,5265054.0,4883635.0,4480000000.0,87400000.0,7473960.0,19300000.0,58800000.0,4816824.0,20000000.0,65.49459,54.750609999999995,16.95495,3.3520260000000004,28.01185,4.688172,136.2519,11.654739999999999,91.62078000000001,7.511259,3990.02553098108
"China, P.R.: Mainland",2015,CHN,190.0,1444.0,2404.0,866711.0,21700000.0,20700000.0,4028359.0,3911681.0,34800000.0,30100000.0,5557613.0,5134581.0,5010000000.0,106000000.0,7033643.0,24700000.0,67400000.0,4501116.0,24700000.0,92.31908,76.78764,19.24685,3.5689889999999997,30.83503,4.923856,155.1396,10.25323,98.31059,6.561462,4438.68918236437
"China, P.R.: Mainland",2016,CHN,190.0,1165.0,2806.0,924176.0,25200000.0,23400000.0,4591311.0,4077628.0,38600000.0,32700000.0,6132550.0,5251605.0,5660000000.0,117000000.0,6147296.0,31100000.0,75300000.0,3847387.0,29400000.0,98.44006,81.45148,22.17278,4.046514,34.0441,5.404872,157.9931,8.306474,101.7949,5.1987440000000005,4988.3936736571
"China, P.R.: Mainland",2017,CHN,190.0,998.0,2907.0,960565.0,29100000.0,27500000.0,5188930.0,5018072.0,42800000.0,36900000.0,6721226.0,6197680.0,6110000000.0,125000000.0,5629497.0,36800000.0,83900000.0,3528125.0,34100000.0,102.3161,84.16226,25.46673,4.5464080000000004,37.47175,5.888967,152.0318,6.858931,102.1876,4.298637,5349.05172215883
"China, P.R.: Mainland",2018,CHN,192.0,842.0,3093.0,1110800.0,33400000.0,31500000.0,9020950.0,8711438.0,47800000.0,41400000.0,11400000.0,10500000.0,6910000000.0,133000000.0,4914920.0,40900000.0,95200000.0,3198401.0,39200000.0,118.3186,96.81528,29.0878,7.862493,41.69702,9.953412,147.322,5.4591449999999995,105.7294,3.552557,6023.49988775076
